Inv_NUM,Country,Date,Denomination,Type,grading_serv,MINTAGE,SERIAL_NUM,Grade,INFO_KM,Price,Metal Compositiom,Status,DateEntered,catagory
11899,DANZIG,1932,10,PFENNIG,,,,AU,KM 152,$55.00,,Available,1810,world-coin
11901,DANZIG,1937,2,PFENNIG,,,,UNC (corroded),,$20.00,,Available,1810,world-coin
11903,GREAT BRITAIN,1902,1/3,Farthing,,,,Unc,791,$40.00,,Available,1810,
11905,GREECE,1874A,20,LEPTA,,,,XF,44,$25.00,,Available,1810,
11906,CANADA,1915,5›,5 Cents,,,,VF,22,$35.00,,Available,1810,
11907,CANADA,1906  LC,25›,25 Cents,,,,Fine,11,$30.00,,Available,1810,
11909,GREAT BRITAIN,1890,6,PENCE,,,,XF,760,$30.00,,Available,,
11911,GREAT BRITAIN,1879   DIE14,1,SHILLING,,,,VG,734.2,$75.00,,Available,1810,
11914,US,1892,50›,Columbian,,,,MS-64,,$120.00,,Available,1812,
11919,US,1911,25›,Barber,,,,Fine,,$23.00,,Available,1812,
12743,US,1912-D,50›,Barber,,,,Fine,,$44.00,,Available,2109,
12753,US,1885,$1,Morgan Dollar,,,,MS-64,,$94.00,,Available,2109,
12131,US,1914-D,10›,Barber,,,,XF,,$30.00,,Available,1909,
12440,US,1927-D,$1,Peace,,,,XF,,$35.00,,Available,2104,
12453,US,1894,50›,Barber,,,,Good,,$34.00,,Available,2104,
11923,US,1935,$1,PEACE,,,,UNC lgt.scratch rev,,$65.00,,Available,1812,
11925,US,1907-S,25›,Barber,,,,VG,,$23.00,,Available,1812,
11930,US,1912-S,1›,Lincoln,,,,XF,,$70.00,,Available,1812,
11934,US,1929-S,5›,Buffalo,,,,AU,,$28.00,,Available,1812,
13574,US,1929,1›,Lincoln,,,,Unc,,$29.00,,Available,2310,
13575,US,1892,50›,Columbian Half,,,,MS-63,,$110.00,,Available,2310,
13576,US,1883-O PL,$1,Morgan,,,,MS-63 PL,,$150.00,,Available,2310,
13577,US,1883,$1,Morgan,,,,MS-63,,$95.00,,Available,2310,
13579,US,1884-O,$1,Morgan,,,,MS-63,,$77.00,,Available,2310,
13580,US,1885-O,$1,Morgan,,,,MS-65,,$200.00,,Available,2310,
13581,US,1889,$1,Morgan,,,,MS-62,,$58.00,,Available,2310,
13582,US,1883,$1,Morgan,,,,MS-63,,$95.00,,Available,2310,
13584,US,1885-O,$1,Morgan,,,,MS-63,,$84.00,,Available,2310,
13585,US,1879-S,$1,Morgan,,,,MS-64,,$99.00,,Available,2310,
13586,US,1828 Lg Narrow date,1›,Braided Hair,,,,AG,,$20.00,,Available,2310,
13588,US,1890-CC,$1,Morgan,,,,VG,,$132.00,,Available,2310,
13589,US,1914-S,5›,Buffalo,,,,VG,,$30.00,,Available,2310,
13590,US,1912-D,50›,Barber,,,,VG,,$22.00,,Available,2310,
13592,US,1853,3›,Three Cent Silver,,,,VF,,$63.00,,Available,2310,
13593,US,1897,$1,Morgan,,,,AU,,$50.00,,Available,2310,
13594,US,1862,25›,Seated Libery,,,,Good,,$28.00,,Available,2310,
12065,US,1906,1›,Indian Cent,,"96,020,530",,AU58,,$24.00,,Available,1904,
12068,US,1899,1›,Indian Cent,,"53,598,000",,AU,,$20.00,,Safe,1904,
12070,Danzig,1932,5 pfening,Danzig,,,,Unc,151,$60.00,,Available,1904,
12072,Canada,1917,10›,10 Cent,,,,Unc,,$60.00,,Available,1904,
12073,Great Britain,1838,2d,2 Pence,,,,XF,729,$30.00,,Available,1904,
12074,Canada,1924,5›,5 Cent Silver,,,,XF,13,$25.00,,Available,1904,
12083,US,1905,1›,Indian Cent,,,,AU53,,$20.00,,Safe,1906,
12084,US,1903,1›,Indian Cent,,,,AU53,,$20.00,,Available,1906,
11946,US,1834 Sm Date Sm Lt,50›,Bust Half,,"6,412,004",,XF,CC,$140.00,,Available,1901,
11962,US,1788,1›,Massachusetts,,,,Fine,CC,$150.00,,Available,1901,
11963,US,1787,,Connecticut,,,,Fine,,$100.00,,Available,1901,
12285,US,1901-S,$1,Morgan Dollar,,,,AU,,$175.00,,Available,2006,
14220,US,1943-D,50›,Walking Liberty,,,,MS-63,,$64.00,,Available,2409,
14221,US,1946-D,50›,Walking Liberty,,,,MS-64,,$79.00,,Available,2409,
14222,US,1933-S,50›,Walking Liberty,,,,Fine+,,$20.00,,Available,2409,
14223,US,1907-O,50›,Baber,,,,VG,,$28.00,,Available,2409,
14224,US,1831,10›,Bust,,,,VG,,$60.00,,Available,2409,
14225,US,1883,10›,Seated Liberty,,,,AU,,$60.00,,Available,2409,
14226,US,1905-O,10›,Baber,,,,Good,,$40.00,,Available,2409,
14227,US,1911-D,10›,Baber,,,,Good,,$20.00,,Available,2409,
14228,US,1941,5›,Jefferson,,,,PF-64,,$48.00,,Available,2409,
14229,US,1942 Type II,5›,Jefferson,,,,PF-65,,$71.00,,Available,2409,
14230,US,1938,5›,Jefferson,,,,PF-65,,$92.00,,Available,2409,
14231,US,1945-S,5›,Jefferson,,,,BU,,$48.00,,Available,2409,
14233,US,1864,2›,Two Cent,,,,Unc,,$110.00,,Available,2409,
14234,US,1921-S,1›,Lincoln,,,,AU Cleaned,,$38.00,,Available,2409,
14238,US,1927-D,1›,Lincoln,,,,XF Cleaned,,$6.00,,Available,2409,
14239,US,1927-S,1›,Lincoln,,,,AU Cleaned,,$33.00,,Available,2409,
205,US,1950-D,5›,Jefferson,,,,Choice Unc,,$25.00,,Available,0812,
257,US,1904-S,10›,Barber,,,,AG,,$30.00,,Available,0812,
238,US,1908-S,25›,Barber,,,,Good,,$20.00,,Available,0812,
12339,US,1854-O Arrows,50›,Liberty Seated,,,,VG,,$49.00,,Available,2011,
12342,US,1921,$1,Morgan Dollar,,,,MS-63,,$45.00,,Available,2011,
12347,US,1916-D,25›,Barber,,,,Unc,,$200.00,,Available,2011,
12348,US,1908-O,25›,Barber,,,,AU-58,,$180.00,,Available,2011,
12350,US,1909-O,50›,Barber,,,,VF,,$120.00,,Available,2011,
12351,US,1914-S,1›,Lincoln,,,,VG,,$20.00,,Available,2011,
510,US,1927-S,5›,Buffalo,,,,VF,,$33.00,,Available,0903,
511,US,1926-S,5›,Buffalo,,,,VG,,$39.00,,Available,0903,
513,US,1934,5›,Buffalo,,,,MS-63,,$58.00,,Available,0903,
515,US,1935-S,5›,Buffalo,,,,MS-63,,$66.00,,Available,0903,
516,US,1935-D,5›,Buffalo,,,,XF,,$20.00,,Available,0903,
519,US,1935,5›,Buffalo,,,,Unc,,$20.00,,Available,0903,
520,US,1866,3›,3 Cent Nickel,,,,XF,,$36.00,,Available,0903,
158,US,1871,1›,Indian Cent,,,,AG,,$45.00,,Available,0811,
164,US,1872,1›,Indian Cent,,,,Fine corrosion,Damage obv,$150.00,,Available,0811,
847,US,1923-S,5›,Buffalo,,,,XF,,$255.00,,Available,0904,
848,US,1937-S,5›,Buffalo,,,,MS-63,,$33.00,,Available,0904,
851,US,1919-D,5›,Buffalo,,,,GOOD+,,$20.00,,Available,0904,
856,US,1916-S,5›,Buffalo,,,,XF,,$72.00,,Available,0904,
13464,US,1879-S Rev 78',$1,Morgan,,,,AU-58,,$470.00,,Available,2305,
597,US,1869,1›,Indian Cent,,,,Good,,$90.00,,Available,0903,
599,US,1917-D,5›,Buffalo,,,,Good,,$20.00,,Available,0903,
615,US,1939-S,5›,JEFFERSON,,,,Unc,,$20.00,,Available,0903,
617,US,2005-S,$1,Sacagawea,,,,PROOF,,$22.50,,Available,0903,
618,US,2001-S,$1,Sacagawea,,,,PROOF,,$100.00,,Available,0903,
620,US,1999-S,50›,Kennedy,,,,PROOF CLAD,,$24.00,,Available,0903,
